,mean,std,max,mean_rating
A. Klagenfurt,847.5361445783133,80.50818304046844,1020.0,847.5361445783133
A. Lustenau,701.4074702886248,160.25511234445926,1023.0,701.4074702886248
A. Sebatspor,824.790516967967,30.366783140551178,1087.0,824.790516967967
AC Oulu,810.5966633954857,125.22568714006296,1092.0,810.5966633954857
AEK,1161.164498141264,124.10092750678248,1405.0,1161.164498141264
AFC Eskilstuna,709.066722972973,58.11362738008118,960.0,709.066722972973
AFC Telford United,660.1471070508316,22.538271193895458,972.0,660.1471070508316
AFC Wimbledon,508.7917710944027,161.97214013277008,997.0,508.7917710944027
AIK,1088.7337263571603,120.67475258476152,1348.0,1088.7337263571603
AZ Alkmaar,936.5531365313653,99.0793811663102,1226.0,936.5531365313653
Aachen,852.8729463307776,68.86305223850674,1132.0,852.8729463307776
Aalborg,882.8984669514954,171.56800675048345,1259.0,882.8984669514954
Aalen,752.4388888888889,44.51134933961357,1026.0,752.4388888888889
Aalesund,829.4275202354672,202.75115020337216,1202.0,829.4275202354672
Aalst,755.5664918970448,87.10030962778926,1151.0,755.5664918970448
Aarau,855.1527053007416,53.84996223700245,1065.0,855.1527053007416
Aarhus,863.9607941693893,137.1769268935867,1170.0,863.9607941693893
Aberdeen,991.2553536288922,99.6246478866098,1220.0,991.2553536288922
Academica,807.6076530612245,77.0680280444066,1062.0,807.6076530612245
Academica Clinceni,661.1037735849056,268.2078365709807,1169.0,661.1037735849056
Accrington,538.2258452033636,145.6039193727863,1207.0,538.2258452033636
Ad. Demirspor,698.7304931697153,107.26704693052606,1163.0,698.7304931697153
Adanaspor,835.8444591029024,56.73292548469797,1059.0,835.8444591029024
Admira,750.4882901032486,142.42374087952592,1116.0,750.4882901032486
Ahlen,714.918086314594,107.3150233284022,1151.0,714.918086314594
Airdrie,864.9781224678783,75.54951491647795,1186.0,864.9781224678783
Airdrie Utd,673.8998008273326,155.7546016485002,1041.0,673.8998008273326
Ajaccio,796.8477572559367,108.79747179187414,1056.0,796.8477572559367
Ajaccio GFCO,628.9513486261659,108.50297932783623,986.0,628.9513486261659
Ajax,1103.193992773261,99.55710885910388,1422.0,1103.193992773261
Ajax ,1023.0,0.0,1023.0,1023.0
Akhisar Belediyespor,875.3485309017224,96.04650932624824,1118.0,875.3485309017224
Akhmat Grozny,957.0475950642156,93.34610714446484,1269.0,957.0475950642156
Akratitos,844.4771581133194,43.53975684476646,1034.0,844.4771581133194
Alanyaspor,943.534549689441,76.78247910244583,1180.0,943.534549689441
Alaves,849.9289321344993,117.79624634657671,1164.0,849.9289321344993
Albacete,777.6006335558321,142.9859239763054,1161.0,777.6006335558321
Albinoleffe,718.1377883850438,118.10476277313042,1036.0,718.1377883850438
Albion Rvs,498.53245926680245,193.46140849880976,1091.0,498.53245926680245
Albirex Niigata,971.2385724761672,149.96178417279953,1220.0,971.2385724761672
Alcorcon,763.9665855277716,98.10425288617581,1019.0,763.9665855277716
Alcoyano,653.5589201877934,40.27869048303511,984.0,653.5589201877934
Aldershot,648.0887249013215,142.54157801846267,1079.0,648.0887249013215
Aldosivi,748.8334946757018,154.4965836055557,1114.0,748.8334946757018
Alessandria,629.0754923413567,58.192901550195266,935.0,629.0754923413567
Alfreton Town,636.6406835205993,69.16727397130738,936.0,636.6406835205993
Algeciras,747.7583028762117,27.802955802340584,939.0,747.7583028762117
Alicante,669.7172920389121,27.852283335951007,951.0,669.7172920389121
All Boys,705.114393939394,91.43845444967812,1092.0,705.114393939394
Alloa,701.8746181262729,143.30091617931117,1180.0,701.8746181262729
Almere City,803.6438356164383,46.71670522081422,954.0,803.6438356164383
Almeria,838.751724137931,88.38710602722952,1098.0,838.751724137931
Altach,787.9405880569869,146.31864423398943,1158.0,787.9405880569869
Altay,914.0942347765687,57.279992028024616,1113.0,914.0942347765687
Altrincham,632.6152394027802,99.66948759313851,1045.0,632.6152394027802
Alverca,859.322849213691,40.98761971031868,1068.0,859.322849213691
Alzano,806.8791826659352,20.095289934158224,1024.0,806.8791826659352
America MG,738.2762762762762,101.11473437794163,1049.0,738.2762762762762
Amiens,743.0455941993364,142.51154884481636,1066.0,743.0455941993364
Amkar,987.5169982372198,123.73615954724393,1238.0,987.5169982372198
Amorebieta,729.9479392624729,73.55613794959115,952.0,729.9479392624729
Ancona,758.5289161240904,118.3341717892004,1124.0,758.5289161240904
Anderlecht,1080.3581982840801,116.42951666500683,1336.0,1080.3581982840801
Andorra,764.5925925925926,95.3167574773053,1027.0,764.5925925925926
Angers,797.8596728708404,74.9925608773411,1019.0,797.8596728708404
Ankaragucu,849.3175503588793,141.63585617025646,1245.0,849.3175503588793
Ankaraspor,857.9981893004115,74.881059216058,1186.0,857.9981893004115
Annan Athletic,433.49960443037975,103.49035515510775,1010.0,433.49960443037975
Annecy,668.0102915951973,83.20196454537812,926.0,668.0102915951973
Antalya,1003.8624681639268,14.618987195986536,1008.0,1003.8624681639268
Antalyaspor,951.1901013714967,74.46204091043604,1175.0,951.1901013714967
Antwerp,838.6399713979264,98.42711851087772,1116.0,838.6399713979264
Apollon,872.7211895910781,86.33089646698689,1233.0,872.7211895910781
Arbroath,643.7706129731107,174.44779747320268,1123.0,643.7706129731107
Arezzo,987.868738634485,42.84462241310484,1028.0,987.868738634485
Argentinos Jrs,862.1269881343095,101.17463041513172,1174.0,862.1269881343095
Aris,1015.2826440520446,102.1577552738463,1245.0,1015.2826440520446
Arka Gdynia,853.1480629075566,79.71707657501015,1076.0,853.1480629075566
Arles,661.9427855502192,84.68686525592786,1030.0,661.9427855502192
Arouca,801.4465077605322,100.64265864767407,1055.0,801.4465077605322
Arsenal,1093.574799593542,103.40817001976725,1389.0,1093.574799593542
Arsenal Sarandi,825.6418475517415,132.56137349702325,1228.0,825.6418475517415
Arsenal Tula,826.7056316590563,128.23170347630705,1188.0,826.7056316590563
Ascoli,769.9753618724977,113.07062654956161,1086.0,769.9753618724977
Asteras Tripolis,1012.3298735610492,95.87572704315846,1249.0,1012.3298735610492
Aston Villa,924.552783109405,132.63823283676757,1240.0,924.552783109405
Astra,943.444976076555,218.25483379614656,1310.0,943.444976076555
Atalanta,988.9585029398462,89.18488342851971,1241.0,988.9585029398462
Ath Bilbao,964.4748274691707,76.22922084449003,1149.0,964.4748274691707
Ath Bilbao B,592.2411784857828,44.12104125945321,954.0,592.2411784857828
