,0
Celtic,1529.0
Bayern Munich,1520.0
Olympiakos,1494.0
Panathinaikos,1475.0
Rangers,1451.0
Juventus,1440.0
PAOK,1438.0
Cork City,1437.0
Porto,1423.0
Dundalk,1423.0
Ajax,1422.0
Chelsea,1417.0
Barcelona,1413.0
AEK,1405.0
Wuhan Three Towns,1401.0
Guangzhou Evergrande,1396.0
Arsenal,1389.0
Inter,1388.0
Napoli,1385.0
CSKA Moscow,1383.0
Liverpool,1383.0
Man United,1382.0
Zenit,1381.0
Dortmund,1380.0
FC Copenhagen,1374.0
Shandong Taishan,1370.0
Cruzeiro,1368.0
Austria Vienna,1366.0
Fenerbahce,1366.0
Salzburg,1365.0
Milan,1364.0
Galatasaray,1364.0
Brondby,1361.0
FCSB,1361.0
Atletico-MG,1359.0
Shanghai SIPG,1359.0
Trabzonspor,1357.0
Shamrock Rovers,1354.0
Cruz Azul,1352.0
CFR Cluj,1352.0
Benfica,1352.0
Hammarby,1351.0
Rosenborg,1350.0
Beijing Guoan,1350.0
Real Madrid,1350.0
River Plate,1349.0
Club Brugge,1348.0
AIK,1348.0
Shanghai Port,1345.0
Omiya Ardija,1343.0
Molde,1341.0
Besiktas,1340.0
Derry City,1340.0
Univ. Craiova,1338.0
U Craiova,1338.0
Anderlecht,1336.0
Club America,1336.0
Zhejiang Professional,1334.0
Sanfrecce Hiroshima,1334.0
Grasshoppers,1334.0
Lech Poznan,1334.0
Club Tijuana,1334.0
Goteborg,1331.0
Targu Mures,1330.0
Midtjylland,1328.0
Man City,1327.0
Stromsgodset,1326.0
Norrkoping,1325.0
Malmo FF,1323.0
Legia,1322.0
Chengdu Rongcheng,1321.0
St. Patricks,1320.0
Elfsborg,1319.0
San Jose Earthquakes,1317.0
Spartak Moscow,1317.0
Werder Bremen,1316.0
Schalke 04,1316.0
Sp Lisbon,1315.0
Helsingborg,1314.0
Wolfsburg,1314.0
PSV Eindhoven,1313.0
Sporting Kansas City,1311.0
Urawa Reds,1310.0
Astra,1310.0
Dundee United,1309.0
Hacken,1309.0
Roma,1309.0
Paris SG,1309.0
Basel,1308.0
Young Boys,1308.0
Sligo Rovers,1308.0
Jiangsu Suning,1308.0
HJK,1308.0
Leverkusen,1306.0
Lierse,1305.0
Yokohama F. Marinos,1304.0
M'gladbach,1303.0
VPS,1301.0
Bodo/Glimt,1299.0
Estudiantes L.P.,1298.0
Palmeiras,1298.0
Boca Juniors,1298.0
Zurich,1297.0
Vegalta Sendai,1296.0
Monaco,1295.0
Farul Constanta,1294.0
Hibernian,1294.0
Kawasaki Frontale,1294.0
FC Tokyo,1292.0
Corinthians,1291.0
Monarcas,1289.0
Kashiwa Reysol,1288.0
Stuttgart,1288.0
Odd,1286.0
Lanus,1285.0
Fluminense,1284.0
Lokomotiv Moscow,1283.0
Lyon,1282.0
Djurgarden,1282.0
Hearts,1282.0
Lazio,1281.0
Leeds,1281.0
Dynamo Moscow,1278.0
Kashima Antlers,1277.0
Boavista,1277.0
Bursaspor,1277.0
Blackburn,1275.0
Mainz,1275.0
Valencia,1275.0
Gamba Osaka,1274.0
FK Anzi Makhackala,1272.0
Sao Paulo,1271.0
St. Gallen,1270.0
OFI,1270.0
New England Revolution,1270.0
Bordeaux,1270.0
Akhmat Grozny,1269.0
Ath Madrid,1269.0
Guimaraes,1269.0
Genk,1268.0
Petrolul,1268.0
Newcastle,1265.0
Drogheda,1265.0
Standard,1264.0
Brann,1263.0
KuPS,1262.0
Club Leon,1262.0
Krasnodar,1260.0
Defensa y Justicia,1260.0
Aalborg,1259.0
Atromitos,1259.0
Flamengo RJ,1259.0
Houston Dynamo,1259.0
Cracovia,1258.0
Vasco,1257.0
Hertha,1257.0
Newells Old Boys,1254.0
Seattle Sounders,1254.0
FC Botosani,1254.0
Piast Gliwice,1254.0
Marseille,1254.0
Iraklis,1253.0
Nantes,1253.0
Atletico-PR,1253.0
Toluca,1253.0
Parma,1252.0
Buyuksehyr,1252.0
