,mean,std,max,mean_rating
Afghanistan,627.3581103847969,129.5485751887249,1004.0,627.3581103847969
Albania,899.1118555996171,77.0054903156352,1118.0,899.1118555996171
Algeria,1043.133692238672,105.68496071758841,1284.0,1043.133692238672
American Samoa,592.5870283018868,173.19603172557302,964.0,592.5870283018868
Andorra,590.6944032616753,123.92810636032966,929.0,590.6944032616753
Angola,930.2785671995264,85.2387736594359,1130.0,930.2785671995264
Anguilla,519.1417402269861,227.50720904120567,960.0,519.1417402269861
Antigua and Barbuda,829.2401820091004,139.44830362902616,1069.0,829.2401820091004
Argentina,1279.277523072343,104.63554863850307,1512.0,1279.277523072343
Armenia,829.0304037111334,53.342177414355966,1070.0,829.0304037111334
Aruba,719.0030952086171,206.08174529877024,1086.0,719.0030952086171
Australia,1122.8012781123264,99.47772337629034,1401.0,1122.8012781123264
Austria,1124.197165485619,94.16057330483451,1384.0,1124.197165485619
Azerbaijan,947.60092778335,114.59615700009017,1106.0,947.60092778335
Bahamas,681.7355432480861,120.15612292119027,944.0,681.7355432480861
Bahrain,881.6696560803027,84.3540012133855,1154.0,881.6696560803027
Bangladesh,587.4930763473054,135.48895317292056,977.0,587.4930763473054
Barbados,796.8015315486361,102.14982592689385,1126.0,796.8015315486361
Belarus,937.9524407471355,98.34403504599635,1167.0,937.9524407471355
Belgium,1131.2615485486083,142.39428943139188,1511.0,1131.2615485486083
Belize,899.9635390428211,155.41747031963072,1038.0,899.9635390428211
Benin,817.7543885100827,114.47607557713808,1100.0,817.7543885100827
Bermuda,807.2962576292965,87.0491337755722,1021.0,807.2962576292965
Bhutan,425.432540589984,233.49838057991272,953.0,425.432540589984
Bolivia,956.18541014402,94.72049776651262,1273.0,956.18541014402
Bonaire,702.3643028612211,135.64492773758244,943.0,702.3643028612211
Bosnia and Herzegovina,1019.2981338862559,89.86110750844107,1249.0,1019.2981338862559
Botswana,769.5088287980892,107.71399180100273,989.0,769.5088287980892
Brazil,1339.0399224571395,123.88900256457869,1586.0,1339.0399224571395
British Virgin Islands,582.1838587641867,251.84479190510683,1059.0,582.1838587641867
Brunei,436.1347460658083,225.75548048761505,943.0,436.1347460658083
Bulgaria,1057.933415918241,131.90499700454524,1345.0,1057.933415918241
Burkina Faso,893.8910324843679,73.63590026875585,1061.0,893.8910324843679
Burundi,842.2231559290383,107.7629202459079,1063.0,842.2231559290383
Cambodia,629.7952946350044,223.2075767442793,1010.0,629.7952946350044
Cameroon,1054.541457105906,80.43180225186741,1279.0,1054.541457105906
Canada,1001.7643193652368,70.50753418116494,1297.0,1001.7643193652368
Cape Verde,864.2453073941789,77.70501478458787,1056.0,864.2453073941789
Cayman Islands,678.0198888202594,149.3471791189434,933.0,678.0198888202594
Central African Republic,773.2050088652483,114.59113617174674,1034.0,773.2050088652483
Chad,759.8050050516825,87.24872461512997,1000.0,759.8050050516825
Chagos Islands,930.0,0.0,930.0,930.0
Chile,1093.983485467211,131.50042877691544,1456.0,1093.983485467211
China,1052.6913557889654,87.10402650782328,1221.0,1052.6913557889654
Colombia,1053.9659565996417,185.99116948699296,1441.0,1053.9659565996417
Comoros,695.9255863539446,139.119817046188,937.0,695.9255863539446
Congo,930.5155955316989,117.38949832103951,1200.0,930.5155955316989
Cook Islands,768.8484602917342,111.828507656138,953.0,768.8484602917342
Costa Rica,1076.5200147121927,80.65839136930053,1302.0,1076.5200147121927
Croatia,1147.5704697986578,91.46735189103238,1391.0,1147.5704697986578
Cuba,887.9670099160946,130.60543553047592,1186.0,887.9670099160946
Curaçao,863.0009904667575,148.38602421560543,1214.0,863.0009904667575
Cyprus,845.5475425858699,127.91546929527719,1150.0,845.5475425858699
Czechia,1171.7961396401763,105.21917049251564,1441.0,1171.7961396401763
DR Congo,985.2811152829926,109.0746618676732,1302.0,985.2811152829926
Denmark,1117.074298030294,134.76932149171097,1415.0,1117.074298030294
Djibouti,664.5865205706016,188.74457799313674,960.0,664.5865205706016
Dominica,779.8374072879716,182.67436944407757,1095.0,779.8374072879716
Dominican Republic,743.5096247733296,121.57229617288786,954.0,743.5096247733296
East Germany,1203.3503283666407,126.67833531063773,1404.0,1203.3503283666407
East Timor,345.8367293625914,226.71929935319457,925.0,345.8367293625914
Ecuador,970.3381755180916,165.3119093501751,1361.0,970.3381755180916
Egypt,1088.118506295074,86.09684039534552,1320.0,1088.118506295074
El Salvador,945.1349843682952,79.02459899594648,1153.0,945.1349843682952
England,1274.1973427812222,84.88342295828986,1495.0,1274.1973427812222
Equatorial Guinea,751.4352256186318,103.98545133336832,987.0,751.4352256186318
Eritrea,707.4062548382102,159.5364432976351,1010.0,707.4062548382102
Estonia,636.6147069619478,192.0127005563517,1039.0,636.6147069619478
Eswatini,757.8179025514122,112.59526750968777,1019.0,757.8179025514122
Ethiopia,896.8434980359727,114.82989654346086,1202.0,896.8434980359727
FS Micronesia,752.2919477234401,65.55059245563413,882.0,752.2919477234401
Falkland Islands,937.0,0.0,937.0,937.0
Faroe Islands,803.3145680586548,116.76995880727193,960.0,803.3145680586548
Fiji,927.4127894625027,120.26719628452491,1183.0,927.4127894625027
Finland,896.8426343988923,138.86584741738173,1219.0,896.8426343988923
France,1212.7377361864458,178.46121256328425,1521.0,1212.7377361864458
French Guiana,785.6301468659848,97.15674853156263,965.0,785.6301468659848
Gabon,889.9082659752936,67.7971878321716,1091.0,889.9082659752936
Gambia,833.248410827798,75.57375301515586,1035.0,833.248410827798
Georgia,1075.6121489468405,114.71774854377666,1168.0,1075.6121489468405
Germany,1280.2626637162848,134.92366891790272,1537.0,1280.2626637162848
Ghana,1068.003301025425,109.06119618788405,1348.0,1068.003301025425
Gibraltar,863.1428109332039,138.83611672753673,1007.0,863.1428109332039
Greece,1031.4606405084953,130.5666167619326,1399.0,1031.4606405084953
Greenland,712.7704203877151,68.35081731684852,931.0,712.7704203877151
Grenada,882.789333159677,171.89960673606114,1193.0,882.789333159677
Guadeloupe,897.2926415955159,88.27601563689356,1073.0,897.2926415955159
Guam,650.0512095200936,233.7043574091681,942.0,650.0512095200936
Guatemala,959.1960399681236,73.72092866152978,1182.0,959.1960399681236
Guinea,948.8674834636199,107.1311662188695,1255.0,948.8674834636199
Guinea-Bissau,845.7368194842406,135.1374035952864,1077.0,845.7368194842406
Guyana,762.8818230626977,101.51065231686731,1093.0,762.8818230626977
Haiti,926.8657876733628,96.56932705491546,1203.0,926.8657876733628
Honduras,993.5319683687857,92.6529227748954,1242.0,993.5319683687857
Hong Kong,811.9590394511149,133.43920556837628,1225.0,811.9590394511149
Hungary,1130.7950931935925,114.51190251147881,1469.0,1130.7950931935925
Iceland,905.7968122409945,122.18601726730964,1247.0,905.7968122409945
India,774.012270756919,153.60045971057954,1178.0,774.012270756919
Indonesia,834.7908298597954,122.03848358327166,1149.0,834.7908298597954
Iran,1107.1544474393531,76.64490989963444,1316.0,1107.1544474393531
Iraq,1043.7169197396963,87.2830352315196,1306.0,1043.7169197396963
Ireland,1090.827441475526,121.98267136608902,1398.0,1090.827441475526
Israel,1046.8117844177605,89.90615188524164,1275.0,1046.8117844177605
Italy,1268.5409186430502,102.51842338066535,1528.0,1268.5409186430502
Ivory Coast,1066.5966922965326,76.68593138090512,1284.0,1066.5966922965326
Jamaica,922.9414142670564,113.02704378470563,1197.0,922.9414142670564
Japan,1032.2631067371362,138.57190374742197,1376.0,1032.2631067371362
Jordan,844.3893272127385,107.07429801789662,1157.0,844.3893272127385
Kazakhstan,858.4024070359512,109.48405975247857,1095.0,858.4024070359512
Kenya,915.8780076245234,98.94845750152042,1167.0,915.8780076245234
Kiribati,815.5962030716723,96.81914148201858,937.0,815.5962030716723
Kosovo,931.3991423125794,37.93382883645631,1125.0,931.3991423125794
Kurdistan,983.0510095642933,1.1055663814678527,1007.0,983.0510095642933
Kuwait,966.2069018879604,134.32633431579313,1284.0,966.2069018879604
Kyrgyzstan,703.1263830450366,93.25832959340487,970.0,703.1263830450366
Laos,519.8732328724561,146.96529587374266,970.0,519.8732328724561
Latvia,733.928408881235,114.00968784653746,1068.0,733.928408881235
Lebanon,837.0108754027927,84.34948885302954,1094.0,837.0108754027927
Lesotho,714.6243932574354,83.44038435958012,1022.0,714.6243932574354
Liberia,846.2950094298563,100.52318026827268,1075.0,846.2950094298563
Libya,937.4633813930134,114.02683886923657,1214.0,937.4633813930134
Liechtenstein,703.0584422840541,163.43772607138357,975.0,703.0584422840541
Lithuania,774.9517492441538,102.14765982389305,1142.0,774.9517492441538
Luxembourg,689.0457555689344,122.72339697399347,1001.0,689.0457555689344
Macao,595.9213490911604,224.68013981297943,1049.0,595.9213490911604
Madagascar,909.40625,138.00992225372593,1119.0,909.40625
Malawi,875.6104516610676,127.6400650775001,1221.0,875.6104516610676
Malaysia,820.2928873190664,130.82637503898314,1113.0,820.2928873190664
Maldives,584.9693997227849,140.23235836747355,935.0,584.9693997227849
Mali,970.5973451327434,102.0341163022346,1236.0,970.5973451327434
Malta,793.6161070847508,98.4821175475874,999.0,793.6161070847508
Martinique,952.023184518107,75.65893663267795,1171.0,952.023184518107
